method,layer_idx,alpha,mode,loophole_rate,compliant_rate,non_compliant_rate,safe_rate,steering_vector_path
pca,14,2.5,both,0.3416666666666667,0.30648148148148147,0.35185185185185186,0.6583333333333333,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha2.5_both.npy
pca,14,3.0,both,0.35185185185185186,0.31296296296296294,0.3351851851851852,0.6481481481481481,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha3.0_both.npy
pca,14,4.0,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha4.0_both.npy
pca,20,0.01,both,0.37777777777777777,0.2518518518518518,0.37037037037037035,0.6222222222222222,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.01_both.npy
pca,20,0.02,both,0.37592592592592594,0.2564814814814815,0.3675925925925926,0.624074074074074,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.02_both.npy
pca,20,0.05,both,0.36666666666666664,0.27870370370370373,0.35462962962962963,0.6333333333333333,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.05_both.npy
pca,20,0.075,both,0.3638888888888889,0.28425925925925927,0.35185185185185186,0.6361111111111111,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.075_both.npy
pca,20,0.1,both,0.35462962962962963,0.2972222222222222,0.34814814814814815,0.6453703703703704,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.1_both.npy
pca,20,0.15,both,0.3509259259259259,0.30092592592592593,0.34814814814814815,0.6490740740740741,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.15_both.npy
pca,20,0.2,both,0.34629629629629627,0.3055555555555556,0.34814814814814815,0.6537037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.2_both.npy
pca,20,0.25,both,0.3388888888888889,0.31296296296296294,0.34814814814814815,0.6611111111111111,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.25_both.npy
pca,20,0.3,both,0.33611111111111114,0.31574074074074077,0.34814814814814815,0.663888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.3_both.npy
pca,20,0.4,both,0.33425925925925926,0.3175925925925926,0.34814814814814815,0.6657407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.4_both.npy
pca,20,0.5,both,0.33425925925925926,0.3175925925925926,0.34814814814814815,0.6657407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.5_both.npy
pca,20,0.75,both,0.33425925925925926,0.3175925925925926,0.34814814814814815,0.6657407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha0.75_both.npy
pca,20,1.0,both,0.33425925925925926,0.3175925925925926,0.34814814814814815,0.6657407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha1.0_both.npy
pca,20,1.25,both,0.33425925925925926,0.3175925925925926,0.34814814814814815,0.6657407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer20_alpha1.25_both.npy
